name,category,description,mechanism,ingredient_name
Ferrous Fumarate,Minerals,Organic iron salt; better tolerated than sulfate,"Fe²⁺ is absorbed via the same DMT1 transporter pathway as ferrous sulfate and delivers identical downstream haem biosynthesis and electron transport chain functions. The fumarate anion is an endogenous TCA cycle intermediate that is rapidly metabolised once absorbed, conferring modestly better gastrointestinal tolerability than the sulfate salt without altering iron absorption efficiency. Preferred in patients who experience GI side effects from ferrous sulfate.",Iron
Zinc Gluconate,Minerals,Well-absorbed organic zinc salt,"Zn²⁺ ions dissociate in gastric acid and are absorbed via ZIP4 transporters in the enterocyte apical membrane; absorption is regulated by metallothionein and ZnT1 export proteins. Zinc serves as a catalytic or structural component in over 300 enzymes (including carbonic anhydrase, alkaline phosphatase, SOD1, and carboxypeptidases) and as the structural core of zinc finger transcription factors controlling immune cell differentiation, gene expression, and DNA repair. Critical for thymulin synthesis and T-lymphocyte maturation.",Zinc
Calcium Carbonate,Minerals,High-elemental calcium; requires stomach acid to absorb,"Requires gastric acid to dissociate into Ca²⁺; absorption occurs predominantly in the duodenum via calcitriol-induced TRPV6 channels (active transcellular transport) and via passive paracellular diffusion throughout the small intestine. Absorbed Ca²⁺ is the primary second messenger for muscle contraction (troponin C binding, triggering actomyosin cross-bridge cycling), synaptic neurotransmitter vesicle fusion, and intracellular signalling cascades (calmodulin-dependent kinases). Also the principal mineral in hydroxyapatite (Ca₁₀(PO₄)₆(OH)₂), providing structural rigidity to bone.",Calcium
Selenomethionine,Minerals,Organic selenium; highest bioavailability form,"Absorbed via the same sodium-dependent neutral amino acid transporter (B⁰AT1) used for methionine, achieving superior bioavailability over inorganic selenite. Selenium is co-translationally incorporated as the 21st amino acid selenocysteine into selenoproteins encoded by the UGA codon. Key selenoproteins include glutathione peroxidases (GPx1–4), which reduce hydrogen peroxide and lipid hydroperoxides; thioredoxin reductases (TrxR), which regenerate thioredoxin for ribonucleotide synthesis; and iodothyronine deiodinases (DIO1/2), which convert inactive T4 to active T3.",Selenium
Potassium Citrate,Minerals,Bioavailable organic potassium salt,"K⁺ is the principal intracellular cation, maintained at ~140 mM inside cells by the Na⁺/K⁺-ATPase pump, establishing the resting membrane potential (~−70 mV) of excitable cells essential for neuronal firing and muscle contraction. Co-transporter systems (NKCC, KCC) use the K⁺ gradient to drive sodium and chloride movement in renal tubules, determining extracellular fluid volume and blood pressure. The citrate anion is metabolised to bicarbonate, alkalinising the urine and reducing calcium oxalate and uric acid stone formation.",Potassium
Copper Gluconate,Minerals,Bioavailable copper salt for enzyme function,"Cu²⁺ is the catalytic centre of several cuproenzymes: cytochrome c oxidase (Complex IV of the mitochondrial electron transport chain, reducing O₂ to water); superoxide dismutase 1 (SOD1, the cytosolic antioxidant enzyme); lysyl oxidase (cross-linking collagen and elastin for connective tissue tensile strength); and dopamine beta-hydroxylase (converting dopamine to norepinephrine). Ceruloplasmin, the major copper-transport plasma protein, also acts as a ferroxidase, oxidising Fe²⁺ to Fe³⁺ for transferrin loading, linking copper status to iron metabolism.",Copper
Chromium Picolinate,Minerals,Picolinic acid chelate supporting glucose metabolism,"Picolinic acid chelation enhances intestinal Cr³⁺ absorption compared to inorganic chromium salts. Absorbed chromium is proposed to bind to a low-molecular-weight chromium-binding substance (chromodulin/LMWCr) in the cytosol of insulin-responsive cells, which then activates the insulin receptor tyrosine kinase, amplifying GLUT4 translocation and glucose uptake into skeletal muscle and adipose tissue. Evidence from meta-analyses (primarily in type 2 diabetes) supports modest improvements in fasting glucose; EFSA has not authorised a health claim pending further mechanistic evidence.",Chromium
Potassium Iodide,Minerals,Inorganic iodine salt for thyroid hormone synthesis,"Iodide is actively concentrated in thyroid follicular cells up to 20–40-fold above plasma levels via the basolateral sodium-iodide symporter (NIS). Within the follicular lumen, thyroid peroxidase (TPO) oxidises iodide and catalyses its organification onto tyrosine residues of thyroglobulin, forming mono- and di-iodotyrosines that couple to yield thyroxine (T4) and triiodothyronine (T3). T3 binds nuclear thyroid hormone receptors (TRα/TRβ) to regulate metabolic rate, thermogenesis, cardiac output, and development of the fetal nervous system.",Iodine
Boron Citrate,Minerals,Organic boron compound for bone and joint metabolism,"Boron is not yet classified as an essential nutrient with a defined biochemical mechanism, but acts as a reversible covalent inhibitor of enzymes that use NAD⁺ as a substrate, and modulates the activity of hydroxylation enzymes involved in steroid hormone metabolism. Dietary boron supplementation has been shown to increase plasma oestradiol, testosterone, and 25-hydroxyvitamin D3 concentrations, and to reduce urinary calcium and magnesium excretion, suggesting a regulatory role in mineral and hormone homeostasis. Also proposed to modulate the NF-κB inflammatory pathway.",Boron
Manganese Gluconate,Minerals,Bioavailable manganese salt for enzyme activation,"Mn²⁺ is the essential catalytic metal for manganese superoxide dismutase (MnSOD/SOD2), the primary mitochondrial antioxidant enzyme that dismutates superoxide anions generated by the electron transport chain. Also functions as a cofactor for arginase (converting arginine to ornithine and urea in the hepatic urea cycle), pyruvate carboxylase (gluconeogenesis initiation), and glycosyltransferases responsible for the synthesis of proteoglycans in cartilage extracellular matrix. Absorbed via DMT1 transporter pathways shared with iron.",Manganese
Sodium Chloride,Minerals,Primary electrolyte for fluid and nerve function,"Na⁺ is the principal extracellular cation and the primary determinant of plasma osmolality and extracellular fluid volume, regulated by the renin-angiotensin-aldosterone system (RAAS) and ADH. The electrochemical Na⁺ gradient established by Na⁺/K⁺-ATPase drives secondary active co-transport of glucose (SGLT1), amino acids, and other nutrients across intestinal and renal epithelia. Rapid depolarisation of neuronal and cardiomyocyte membranes via voltage-gated Na⁺ channels (Nav) underlies the generation and propagation of action potentials.",Sodium
Withanolides,Botanicals & Herbals,Steroidal lactones; key bioactives standardised from ashwagandha root,"Withanolides are steroidal lactones structurally analogous to glucocorticoids that bind and inhibit IκB kinase (IKK), blocking NF-κB nuclear translocation and suppressing transcription of pro-inflammatory cytokines (IL-6, TNF-α) and stress-response genes. They also modulate the hypothalamic-pituitary-adrenal (HPA) axis, reducing cortisol secretion and down-regulating heat shock protein 90 (Hsp90), which is required for glucocorticoid receptor stabilisation. GABA-mimetic activity at GABAA receptors contributes to the anxiolytic effects demonstrated in randomised controlled trials.",Ashwagandha
Ginkgo Flavone Glycosides,Botanicals & Herbals,Antioxidant flavonoids standardised from Ginkgo biloba,"Quercetin, kaempferol, and isorhamnetin glycosides act as free-radical scavengers, donating electrons to neutralise superoxide and hydroxyl radicals, thereby reducing oxidative stress in neuronal and vascular tissue. They also inhibit platelet-activating factor (PAF) by competing at its receptor, reducing platelet aggregation and cerebrovascular inflammation. Flavonoid-mediated inhibition of phosphodiesterase (PDE) increases intracellular cAMP, promoting nitric-oxide-dependent vasodilation and improved cerebral blood flow.",Ginkgo biloba
Terpene Lactones,Botanicals & Herbals,Diterpenes (ginkgolides/bilobalide) from Ginkgo biloba,"Ginkgolides A, B, and C are potent and selective antagonists of the platelet-activating factor (PAF) receptor, inhibiting PAF-induced platelet aggregation, neutrophil activation, and neuroinflammation at nanomolar concentrations. Bilobalide protects mitochondrial membrane integrity under ischaemic conditions and promotes neuronal survival by inhibiting glutamate-induced NMDA receptor excitotoxicity. Together with the flavone glycosides, the terpene lactones form the pharmacological basis of standardised Ginkgo biloba leaf extract (EGb 761).",Ginkgo biloba
Hypericin,Botanicals & Herbals,Naphthodianthrone pigment from St John's Wort,"Hypericin and pseudohypericin inhibit monoamine oxidase A (MAO-A) and MAO-B in vitro, reducing the degradation of serotonin, dopamine, and norepinephrine in the synaptic cleft. Hypericin also activates sigma-1 receptors, which modulate neuroplasticity and neuroprotection, and influences pineal melatonin secretion, potentially contributing to effects on sleep and mood regulation. Its photosensitising properties arise from the generation of singlet oxygen upon light exposure, which has also been investigated in photodynamic antimicrobial and antiviral contexts.",St John's Wort
Hyperforin,Botanicals & Herbals,Phloroglucinol compound; mood-modulating active in St John's Wort,"The primary antidepressant constituent of St John's Wort; inhibits neuronal reuptake of serotonin, dopamine, norepinephrine, GABA, and glutamate through a mechanism distinct from conventional SSRIs. Hyperforin activates transient receptor potential canonical 6 (TRPC6) channels, causing Na⁺ influx and membrane depolarisation that reduces the driving force for monoamine transporters, increasing synaptic availability of multiple neurotransmitters simultaneously. Clinical trials and Cochrane reviews support efficacy equivalent to standard antidepressants for mild-to-moderate depression.",St John's Wort
Cannabidiol (CBD),Botanicals & Herbals,Non-psychoactive cannabinoid from hemp extract,"Acts as a negative allosteric modulator of CB1 and CB2 cannabinoid receptors, reducing their signalling without direct agonism, and thus lacking the psychoactive effects of THC. Simultaneously acts as an agonist at TRPV1 (vanilloid receptor, involved in pain and temperature), 5-HT1A serotonin receptors (anxiolytic and antiemetic effects), and GPR55 receptors. Inhibits fatty acid amide hydrolase (FAAH), preventing the breakdown of endocannabinoid anandamide, thereby amplifying endogenous cannabinoid tone.",CBD
L-Theanine,Botanicals & Herbals,Non-protein amino acid from green tea; promotes calm alertness,"Crosses the blood-brain barrier via the large neutral amino acid transporter (LAT1) and antagonises ionotropic glutamate receptors (NMDA, AMPA, and kainate), reducing excitatory neurotransmission. Simultaneously increases brain serotonin and GABA concentrations and dose-dependently promotes alpha-wave electroencephalographic (EEG) activity, which is associated with a state of alert relaxation without drowsiness. Human trials show synergistic effects with caffeine on attention and reaction time, including in studies conducted at the University of Surrey.",L-Theanine
Beta-Glucans,Botanicals & Herbals,Immunomodulatory polysaccharides from Lion's Mane mushroom,"(1→3),(1→4)-beta-D-glucans from Hericium erinaceus are recognised by Dectin-1 and TLR-2 pattern recognition receptors on innate immune cells (macrophages, dendritic cells, neutrophils), triggering Syk-kinase-mediated signalling and innate immune activation. This leads to enhanced phagocytosis, cytokine secretion (IL-12, TNF-α), and downstream priming of adaptive T-cell responses. Some beta-glucan fractions also modulate the gut microbiome as prebiotic fibres, selectively enriching Bifidobacterium and Lactobacillus.",Lion's Mane
Hericenones,Botanicals & Herbals,Aromatic compounds from Lion's Mane fruiting body,"Hericenones C, D, E, F, G, and H are isoindolinone-type aromatic compounds found exclusively in the fruiting body of Hericium erinaceus. They cross the blood-brain barrier and stimulate the synthesis and secretion of nerve growth factor (NGF) from astrocytes and neuronal cells via an as-yet uncharacterised receptor-mediated pathway. NGF activates TrkA (tropomyosin receptor kinase A) and p75NTR receptors, promoting cholinergic neuron survival, axonal sprouting, and synaptic plasticity in the hippocampus.",Lion's Mane
Erinacines,Botanicals & Herbals,Diterpenoids from Lion's Mane mycelium; stimulate nerve growth factor,"Erinacines A, B, C, and I are cyathane-type diterpenoids found exclusively in the mycelium of Hericium erinaceus. They penetrate the blood-brain barrier and potently stimulate de novo NGF synthesis in the hippocampus and cerebellum, with erinacine A acting on locus coeruleus noradrenergic neurons to increase catecholamine turnover. The resulting NGF elevation activates TrkA signalling pathways supporting peripheral and central neuronal survival, differentiation, and the maintenance of cholinergic neurons relevant to memory and learning.",Lion's Mane
Eicosapentaenoic Acid (EPA),Fatty Acids & Lipids,Long-chain omega-3 for inflammation and cardiovascular health,"Incorporated into membrane phospholipids where it competes with and partially replaces arachidonic acid (AA), reducing substrate availability for pro-inflammatory prostaglandin E2, thromboxane A2, and leukotriene B4 synthesis via COX and 5-LOX pathways. Simultaneously serves as a substrate for the biosynthesis of E-series resolvins and protectins, specialised pro-resolving mediators that actively terminate inflammatory responses. Also activates PPARα and PPARγ nuclear receptors, suppressing hepatic triglyceride synthesis and inflammatory gene transcription.",Omega-3 (EPA/DHA)
Docosahexaenoic Acid (DHA),Fatty Acids & Lipids,Long-chain omega-3 for brain structure and retinal health,"Concentrated in neuronal synaptic membranes and photoreceptor outer segment phospholipids, where its multiple double bonds confer exceptional membrane fluidity essential for rapid conformational changes in G-protein-coupled receptors (particularly rhodopsin in rod cells for dim-light vision). In neurons, DHA modulates BDNF expression, synaptic plasticity, and is the precursor for neuroprotectin D1, an endogenous neuroprotective lipid mediator that inhibits pro-apoptotic signalling. DHA incorporation into retinal photoreceptor membranes during fetal and infant development is critical for visual acuity.",Omega-3 (EPA/DHA)
Linoleic Acid,Fatty Acids & Lipids,Essential omega-6 fatty acid,"An essential fatty acid that cannot be synthesised de novo by humans and must be obtained from the diet. Elongated and desaturated by FADS1 and FADS2 enzymes to arachidonic acid (AA), the primary precursor for series-2 prostaglandins, thromboxane A2, and leukotriene B4 — eicosanoid signalling molecules central to the inflammatory and immune response cascade. Also incorporated into ceramide and sphingomyelin in the stratum corneum, maintaining skin barrier impermeability.",Omega-6
Oleic Acid,Fatty Acids & Lipids,Monounsaturated omega-9 fatty acid,"Incorporated into membrane phospholipids, reducing membrane rigidity when substituting saturated fatty acids and modulating the activity of membrane-bound receptors and ion channels. Activates PPARα and PPARγ nuclear receptors, promoting fatty acid oxidation in the liver and adiponectin expression in adipocytes, respectively. Reduces LDL susceptibility to oxidative modification compared with saturated fat-enriched diets, a mechanism proposed by UK studies to underlie the cardiovascular benefits associated with Mediterranean-style dietary patterns.",Omega-9
Ubiquinone,Fatty Acids & Lipids,Oxidised form of CoQ10; fat-soluble cellular energy carrier,"Functions as the mobile lipid-soluble electron carrier shuttling electrons from NADH-CoQ oxidoreductase (Complex I) and succinate-CoQ oxidoreductase (Complex II) to ubiquinol-cytochrome c oxidoreductase (Complex III) within the inner mitochondrial membrane. This electron transfer drives proton pumping across the membrane, generating the electrochemical gradient that powers ATP synthase (Complex V) for oxidative phosphorylation. The ubiquinol (reduced) form also acts as a lipid-soluble chain-breaking antioxidant, protecting mitochondrial membranes from lipid peroxidation.",Coenzyme Q10
Allicin,Botanicals & Herbals,Thiosulfinate bioactive formed from alliin in garlic,"Formed enzymatically from alliin by alliinase upon crushing or cutting garlic; allicin reacts with cysteine-containing bacterial enzymes via thiol-disulfide exchange, irreversibly inactivating acetyl-CoA synthetase and other cysteine proteases, underpinning its broad-spectrum antimicrobial properties. Inhibits HMG-CoA reductase, the rate-limiting enzyme in cholesterol biosynthesis, and induces endothelial nitric oxide synthase (eNOS), increasing NO-mediated vasodilation. Allicin also inhibits platelet thromboxane A2 synthesis, reducing platelet aggregation independently of aspirin pathways.",Garlic
Phosphatidylcholine,Fatty Acids & Lipids,Phospholipid carrier from krill; enhances omega-3 absorption,EPA and DHA esterified to phosphatidylcholine (PC) are absorbed via a distinct lymphatic pathway compared with triglyceride-bound omega-3s; PC-omega-3s are incorporated directly into chylomicron phospholipid fractions and appear to deliver higher bioavailability to plasma and red blood cell membranes. Phosphatidylcholine itself is the primary phospholipid of cell membranes and a major hepatic lipid export form; choline released by PC hydrolysis serves as the direct precursor for acetylcholine synthesis by choline acetyltransferase (ChAT) in cholinergic neurons.,Krill Oil
Trans-Resveratrol,Botanicals & Herbals,Biologically active stilbene polyphenol antioxidant,"Activates SIRT1 (sirtuin-1), an NAD⁺-dependent deacetylase, by acting as an allosteric activator, stimulating mitochondrial biogenesis via PGC-1α deacetylation and upregulating antioxidant defences including SOD2 and catalase. Also inhibits COX-1 and COX-2 enzymes (reducing prostaglandin synthesis), suppresses NF-κB nuclear translocation, and acts as a selective oestrogen receptor beta (ERβ) agonist. Bioavailability after oral dosing is limited by rapid glucuronidation; trans-resveratrol is the biologically active isomer, as cis-resveratrol has negligible SIRT1-activating potency.",Resveratrol
Betaine,Botanicals & Herbals,Osmolyte from beetroot supporting methylation and circulation,"Trimethylglycine (betaine) functions as an organic osmolyte in renal tubular cells and hepatocytes, protecting against osmotic stress by accumulating intracellularly to balance extracellular hypertonicity without disrupting enzyme function. As a methyl donor, betaine transfers a methyl group to homocysteine via betaine-homocysteine methyltransferase (BHMT), converting it to methionine in a folate/B12-independent pathway, thereby reducing plasma homocysteine — an established independent cardiovascular risk factor. Betaine supplementation has also been shown to increase power output in strength exercise, likely via improved intramuscular creatine synthesis.",Beetroot (Nitrates)
Oligomeric Proanthocyanidins,Botanicals & Herbals,Condensed tannins from hawthorn berry with antioxidant activity,"Oligomeric proanthocyanidins (OPCs) from Crataegus species inhibit angiotensin-converting enzyme (ACE), reducing angiotensin II production and thereby decreasing arteriolar vasoconstriction and vascular smooth muscle tone. They also inhibit xanthine oxidase and scavenge reactive oxygen species at the endothelium, reducing vascular oxidative stress and improving endothelial nitric oxide availability. Additionally, OPCs bind to and stabilise collagen fibres by inhibiting collagenase and elastase, protecting the structural integrity of vascular walls.",Hawthorn
Vitexin-2-rhamnoside,Botanicals & Herbals,Flavonoid C-glycoside standardised from hawthorn extract,"A flavone C-glycoside from Crataegus monogyna and C. laevigata that inhibits cyclic nucleotide phosphodiesterase (PDE3/4), increasing intracellular cAMP concentrations in cardiomyocytes. Elevated cAMP activates protein kinase A, enhancing calcium cycling and improving myocardial contractility (positive inotropy) without increasing oxygen demand proportionally. Also produces coronary arterial vasodilation via endothelium-dependent nitric oxide release, and demonstrates antioxidant activity at the myocardial endothelium.",Hawthorn
Whey Protein Concentrate,Sports & Performance,Fast-digesting milk-derived protein fraction,"Rapidly hydrolysed by gastric and pancreatic proteases to free amino acids and di/tripeptides within 60–90 minutes, generating a fast, high peak in plasma leucine. Leucine directly activates mTORC1 (mechanistic target of rapamycin complex 1) via the Rag GTPase–Ragulator complex on the lysosomal surface, independently of insulin, triggering phosphorylation of 4EBP1 and S6K1 to initiate ribosomal translation and net muscle protein synthesis (MPS). Whey's high leucine content (~11% of amino acids) and rapid digestion kinetics make it particularly effective for maximising post-exercise MPS.",Whey Protein
Leucine,Sports & Performance,Branched-chain amino acid; primary trigger for muscle protein synthesis,"Directly and dose-dependently activates mTORC1 via the Rag GTPase–Ragulator complex on the lysosomal membrane, independently of growth factor signalling. mTORC1 activation phosphorylates 4E-BP1 (releasing eIF4E for cap-dependent translation initiation) and S6K1 (activating ribosomal S6 protein), collectively upregulating the rate of ribosomal mRNA translation and net muscle protein accretion. Leucine is the primary anabolic signal among the BCAAs; isoleucine and valine modulate its effect but cannot substitute for leucine in triggering mTORC1.",Leucine
Isoleucine,Sports & Performance,BCAA supporting glycogen synthesis and recovery,"Promotes glucose uptake into skeletal muscle independently of insulin by stimulating GLUT1 and GLUT4 transporter translocation to the cell surface, enhancing glycogen resynthesis during post-exercise recovery. Acts synergistically with leucine in complete BCAA supplementation to amplify mTORC1-mediated muscle protein synthesis signalling and to reduce net muscle protein breakdown by suppressing the ubiquitin-proteasome pathway. Also catabolised directly in skeletal muscle (unlike most amino acids, which are catabolised in the liver) providing a local glucogenic and ketogenic substrate during prolonged exercise.",Isoleucine
Valine,Sports & Performance,BCAA for muscle tissue repair and energy during exercise,"Catabolised preferentially in skeletal muscle (not the liver) by branched-chain aminotransferase (BCAT) and branched-chain alpha-keto acid dehydrogenase (BCKDH) to succinyl-CoA (a TCA cycle intermediate), providing a direct anaplerotic energy substrate for working muscle during sustained aerobic exercise. Contributes to net nitrogen balance and tissue repair as part of the BCAA trio alongside leucine and isoleucine, and may reduce central fatigue during prolonged exercise by competing with tryptophan at the large neutral amino acid transporter (LAT1) for blood-brain barrier entry, limiting serotonin precursor availability.",Valine
