name,slug,form,description,image_url
Vit B5,vit-b5,tablet,"Pantothenic acid (vitamin B5) contributes to normal energy-yielding metabolism and the normal synthesis and metabolism of steroid hormones, vitamin D, and some neurotransmitters. There is no established UK recommended daily intake, as it is widely found in many foods including chicken, beef, eggs and deficiency is extremely rare. The NHS considers taking 200 mg or less per day from supplements unlikely to cause harm.",/images/products/vitb5.webp
Riboflavin (B2),riboflavin-b2,tablet,"Riboflavin (vitamin B2) contributes to normal energy-yielding metabolism, the maintenance of normal skin and mucous membranes, and the normal functioning of the nervous system and eyes. The UK recommended intake is 1.3 mg per day for men and 1.1 mg for women; good sources include milk, eggs, fortified cereals, and lean meats. The NHS advises taking 40 mg or less per day from supplements; riboflavin is light-sensitive, so foods rich in it should be stored away from direct sunlight.",/images/products/riboflavinb2.webp
Thiamine (B1),thiamine-b1,tablet,"Thiamine (vitamin B1) contributes to normal energy-yielding metabolism and the normal function of the heart and nervous system. The UK recommended intake is 1 mg per day for men and 0.8 mg for women, and it is found in peas, fresh and dried fruit, eggs, wholegrain breads, and some fortified cereals. Because thiamine is water-soluble and cannot be stored in the body, a regular daily intake is needed; the NHS considers taking 100 mg or less per day from supplements to be unlikely to cause harm.",/images/products/thiamineb1.webp
Vit C + Zinc Combos,vit-c-zinc-combo,tablet,"This combination tablet provides both vitamin C and zinc, two nutrients that each contribute to the normal function of the immune system. Vitamin C also contributes to the protection of cells from oxidative stress and normal collagen formation, while zinc contributes to normal protein synthesis and the maintenance of normal vision. The NHS recommends keeping vitamin C supplements below 1,000 mg per day and zinc supplements to no more than 25 mg per day from supplements; taking zinc above this limit can reduce copper absorption and may lead to anaemia over time.",/images/products/vitczinccombo.webp
Multivitamins,multivitamins,tablet,"A multivitamin tablet provides a broad range of vitamins and minerals in a single dose, designed to help fill nutritional gaps where dietary intake may be insufficient. The NHS notes that most people who eat a varied and balanced diet do not need a multivitamin; however, specific groups — including pregnant women (who need folic acid and vitamin D), adults over 65, people with restricted diets, and those with limited sun exposure — may benefit. Care should be taken to avoid double-dosing on individual nutrients when taking a multivitamin alongside other supplements, particularly for fat-soluble vitamins A, D, E, and K.",/images/products/multivitminerals.webp
Vit K2,vit-k2,softgel,"Vitamin K2 (menaquinone) is a form of vitamin K that contributes to normal blood clotting and normal bone maintenance; some research suggests it may have a specific role in directing calcium to bones rather than soft tissues, though this is an area of ongoing study. The NHS notes that most people can obtain sufficient vitamin K from a balanced diet including green vegetables, fermented foods, and some animal products. As with all forms of vitamin K, people taking anticoagulant drugs (e.g., warfarin) should seek medical advice before supplementing, as even small changes in vitamin K intake can alter the effectiveness of these medicines; the general safe upper limit from supplements is 1 mg per day.",/images/products/vitk2.webp

Magnesium Tablets,magnesium-tablets,tablet,"Magnesium contributes to the reduction of tiredness and fatigue, normal muscle and nerve function, normal protein synthesis, and the maintenance of normal bones and teeth. The UK recommended intake is 300 mg per day for men and 270 mg for women, The NHS advises that taking no more than 400 mg per day from supplements is unlikely to cause harm; higher doses may cause diarrhoea. ",/images/products/magnesium.webp
Magnesium Glycinate,magnesium-glycinate,tablet,"Magnesium glycinate is a chelated form of magnesium — magnesium bound to the amino acid glycine — which is often noted for its higher bioavailability and gentler effect on the digestive system compared to other forms such as magnesium oxide. Magnesium contributes to normal muscle and nerve function, normal psychological function, and the maintenance of normal bones. As with all magnesium supplements, the NHS recommends limiting intake from supplements to no more than 400 mg per day to avoid adverse effects such as diarrhoea.",/images/products/magnesiumglycinate.webp
Magnesium Citrate,magnesium-citrate,tablet,"Magnesium citrate is a form of magnesium combined with citric acid, commonly chosen for its relatively good solubility and absorption. Magnesium contributes to normal energy-yielding metabolism, normal functioning of the nervous system, and the maintenance of normal bones and teeth. The NHS advises that no more than 400 mg per day of magnesium from supplements should be taken by adults; higher doses are associated with digestive side effects including diarrhoea.",/images/products/magnesiumcitrate.webp
Iron Supplements,iron-supplements,tablet,"Iron contributes to the normal formation of red blood cells and haemoglobin, normal oxygen transport in the body, and the reduction of tiredness and fatigue. The UK recommended intake is 8.7 mg per day for men and postmenopausal women, and 14.8 mg per day for women of childbearing age due to menstrual losses. The NHS advises that supplements providing 17 mg or less per day are unlikely to cause harm; however, taking more than 20 mg can cause constipation, nausea, and stomach pain — very high doses are dangerous, particularly for children. Iron supplements should only be taken long-term on medical advice, as excess iron can be harmful.",/images/products/iron.webp
Zinc Supplements,zinc-supplements,tablet,"Zinc contributes to the normal function of the immune system, normal protein synthesis, the maintenance of normal skin and hair, and normal wound healing. The UK recommended intake is 9.5 mg per day for men and 7 mg for women, obtainable from red meat, shellfish, dairy, seeds, and pulses. The NHS advises not exceeding 25 mg per day from supplements, as higher intakes can reduce the body's absorption of copper and over time may lead to copper deficiency and anaemia.",/images/products/zinc.webp
Calcium Supplements,calcium-supplements,tablet,"Calcium contributes to the maintenance of normal bones and teeth, normal muscle function including heartbeat regulation, and normal blood clotting. Adults aged 19 and over need 700 mg per day, which most can meet through dairy products, fortified plant milks, leafy green vegetables, and sardines eaten with bones. The NHS advises that taking 1,500 mg or less per day from supplements is unlikely to cause harm; exceeding this amount may lead to stomach pain, diarrhoea, and in rare cases an increased risk of kidney stones.",/images/products/calcium.webp
Selenium,selenium,tablet,"Selenium contributes to the normal function of the immune system, the protection of cells from oxidative stress, and normal thyroid function. The UK recommended intake is 75 micrograms per day for men and 60 micrograms for women; Brazil nuts are an exceptionally rich source, though intake can vary widely. The NHS advises keeping selenium from supplements to no more than 350 micrograms per day, as higher doses can cause selenosis — symptoms of which include hair loss, nail changes, and nerve damage.",/images/products/selenium.webp
Potassium Supplements,potassium-supplements,tablet,"Potassium contributes to the normal function of the nervous system and muscles, and helps maintain normal blood pressure. Adults need 3,500 mg per day, which is readily obtainable from bananas, potatoes, pulses, nuts, and vegetables; most healthy adults do not need to supplement. The NHS advises caution in older adults, who should only take potassium supplements under medical supervision as impaired kidney function can lead to dangerously high blood potassium levels (hyperkalaemia); the general safe upper limit from supplements is 3,700 mg per day.",/images/products/potassium.webp
Copper,copper,tablet,"Copper contributes to the normal function of the immune system, the maintenance of normal connective tissue, and the normal transportation of iron in the body. The UK recommended intake for adults is 1.2 mg per day, found in shellfish, nuts, seeds, and wholegrains. The NHS advises that the combined intake from food, water, and supplements should not exceed 10 mg per day, as excessive copper intake can cause liver damage; those taking high-dose zinc supplements should be particularly mindful, as zinc competes with copper for absorption.",/images/products/copper.webp
Chromium,chromium,tablet,"Chromium contributes to the normal macronutrient metabolism and helps the body maintain normal blood glucose levels by supporting insulin function. The UK reference intake for adults is 25 micrograms per day, obtainable from meat, wholegrains, vegetables, and some spices. The NHS advises that the total intake from food and supplements combined should not exceed 10 mg per day; most people eating a balanced diet are unlikely to be deficient.",/images/products/chromium.webp
Iodine,iodine,tablet,"Iodine contributes to the normal production of thyroid hormones and normal thyroid function, which in turn supports normal energy metabolism. Adults need 140 micrograms per day, primarily from dairy products, eggs, and white fish; people following a vegan diet excluding these foods may have lower intakes and should consider a supplement or fortified foods after seeking advice from a healthcare professional. The NHS advises taking no more than 0.5 mg (500 micrograms) per day from supplements; excess iodine can disrupt thyroid function just as deficiency can.",/images/products/iodine.webp
Boron,boron,tablet,"Boron plays a role in supporting normal bone and joint metabolism, and some research suggests it may assist in the utilisation of vitamin D and magnesium. Boron is not formally classified as an essential nutrient in UK dietary reference values, and there is currently no established recommended daily intake from the Department of Health and Social Care. Boron supplements are subject to The Food Supplements (England) Regulations 2003; consumers should follow product label guidance and not exceed manufacturer recommendations, typically no more than 3 mg per day.",/images/products/boron.webp
Manganese,manganese,tablet,"Manganese contributes to normal energy-yielding metabolism, the maintenance of normal bones, and the normal formation of connective tissue. A specific UK recommended daily amount has not been set, as intakes from a varied diet containing wholegrains, nuts, and leafy vegetables are generally considered sufficient. The NHS advises that adults should not take more than 4 mg of manganese per day from supplements, with a lower limit of 0.5 mg per day for older adults; very high intakes over time may affect the nervous system.",/images/products/manganese.webp

Ashwagandha,ashwagandha,capsule,"Ashwagandha (Withania somnifera) is an adaptogenic (stress-relief) herb with a long history of use in Ayurvedic medicine, traditionally used to support the body's response to stress and to support energy levels. It is regulated in the UK as a food supplement under The Food Supplements (England) Regulations 2003 and cannot make medicinal claims without a product licence. Some clinical trials suggest potential benefits for perceived stress and sleep quality, but the evidence base is still emerging and the MHRA has not granted a Traditional Herbal Registration (THR) for this herb. Consumers should follow label dosing guidance, and people with autoimmune conditions, thyroid disorders, or those taking prescription medicines should consult a GP before use. ",/images/products/ashwagandha.webp
Gingko Biloba,gingko-biloba,capsule,"Ginkgo biloba is a botanical supplement derived from the leaves of the ginkgo tree, traditionally used to support circulation and cognitive function; it is one of the most studied herbal supplements worldwide. In the UK it is sold as a food supplement and cannot make medicinal claims; some products have been granted a Traditional Herbal Registration (THR) by the MHRA for the relief of symptoms of Raynaud's syndrome or mild memory impairment associated with ageing. Ginkgo biloba can interact with anticoagulant and antiplatelet medicines such as warfarin and aspirin, increasing the risk of bleeding, so people taking such medications should consult their GP before use.",/images/products/gingkobiloba.webp
St Johns Wort,st-johns-wort,capsule,"St John's Wort (Hypericum perforatum) is a herbal remedy that has been used for centuries and is available in the UK as a Traditional Herbal Registered (THR) medicine — indicated for the relief of slightly low mood and mild anxiety, based on traditional use. St John's Wort is known to interact with a wide range of medicines including antidepressants, oral contraceptives, anticoagulants (e.g., warfarin), HIV medications, and some heart medicines, and these interactions can be serious; consumers should always consult a pharmacist or GP before use if taking any other medication.",/images/products/stjohnswort.webp
CBD Oil,cbd-oil,oil,"Cannabidiol (CBD) oil is derived from the hemp plant (Cannabis sativa) and is subject to Novel Foods authorisation requirements in the UK; consumers should only purchase products that are linked to a valid application on the Food Standards Agency (FSA) CBD products register. The FSA currently advises that healthy adults consume no more than 10 mg of CBD per day as a food supplement and recommends that CBD products are not used by children, pregnant or breastfeeding women, or people taking prescription medicines without first consulting a doctor or pharmacist. CBD products do not contain significant levels of THC (the psychoactive compound in cannabis) and are not classified as controlled substances when compliant with UK law, but the evidence base for health benefits remains under scientific review.",/images/products/cbdoil.webp
L-Theanine,l-theanine,capsule,"L-theanine is an amino acid found naturally in tea leaves (Camellia sinensis), best known for its association with a calm but alert state of mind; it is commonly consumed in combination with caffeine for cognitive support. In the UK it is sold as a food supplement and is not subject to any specific UK government recommended daily intake guidance, but it has been assessed as safe by EFSA. Most supplement doses range from 100–400 mg per day; individuals sensitive to amino acids, those taking blood pressure medications, or those with liver conditions should seek medical advice before use.",/images/products/ltheanine.webp
Lion's Mane Mushroom,lions-mane-mushroom,capsule,"Lion's Mane (Hericium erinaceus) is an edible mushroom used in traditional East Asian medicine and now sold as a food supplement in the UK; it is of interest for its potential to support nerve growth factor (NGF) pathways and cognitive function, though human clinical evidence is currently limited. It is regulated as a food supplement in the UK under The Food Supplements (England) Regulations 2003, meaning it cannot make claims to treat or prevent disease. Consumers should purchase from reputable sources to ensure quality, as supplement standards can vary; individuals with mushroom allergies or those on anticoagulant therapy should seek medical advice before use.",/images/products/lionsmane.webp

Omega-3 Fish Oil,omega-3-fish-oil,softgel,"Omega-3 fish oil provides long-chain omega-3 fatty acids, primarily EPA (eicosapentaenoic acid) and DHA (docosahexaenoic acid), which contribute to the normal function of the heart at a daily intake of 250 mg of combined EPA and DHA. The NHS recommends eating at least one portion (approximately 140 g cooked) of oily fish per week as the preferred dietary source; a supplement may be appropriate for those who do not eat fish. Fish liver oil supplements (such as cod liver oil) differ from fish body oil supplements in that they also contain high levels of vitamins A and D, and pregnant women are advised to avoid fish liver oil supplements due to the risk of excess vitamin A.",/images/products/omega3fishoil.webp
"Triple Omega 3,6,9",triple-omega-3-6-9,capsule,"Triple omega supplements combine omega-3 (from fish or plant oils), omega-6 (typically from evening primrose or borage oil), and omega-9 (typically from olive or sunflower oil) fatty acids. Omega-3 fatty acids (EPA/DHA) contribute to normal heart function at intakes of 250 mg per day; omega-6 linoleic acid is an essential fatty acid widely available in the UK diet and deficiency is rare. Omega-9 (oleic acid) is a non-essential monounsaturated fat the body can make itself; EFSA has not established specific authorised health claims for combined omega supplements, and most people in the UK get sufficient omega-6 and omega-9 through their diet. The combined supplement should be taken as directed on the label.",/images/products/tripleomega369.webp
Coenzyme Q10,coenzyme-q10,softgel,"Coenzyme Q10 (CoQ10, also known as ubiquinone) is a substance made naturally by the body and found in the mitochondria of cells, where it plays a key role in producing cellular energy (ATP). Natural levels of CoQ10 decline with age and may also be reduced by statin medications, which is why some people on statins take CoQ10 supplements, though the NHS notes that evidence for this use remains inconclusive. In the UK, CoQ10 is sold as a food supplement under The Food Supplements (England) Regulations 2003 and cannot claim to treat any medical condition; it is generally considered safe at doses up to 200 mg per day, but anyone on blood-thinning medicines or diabetes medication should consult a GP before use.",/images/products/coenzymeq10.webp
Garlic Supplements,garlic-supplements,tablet,"Garlic (Allium sativum) has a long tradition of use for supporting circulation and cardiovascular wellness, and some research suggests its active compound allicin may contribute to maintaining normal blood lipid levels and blood pressure, though evidence from large clinical trials is mixed. In the UK, garlic is sold as a food supplement and cannot claim to treat or cure heart disease; some products with Traditional Herbal Registration (THR) status from the MHRA are authorised for use as a traditional herbal remedy to relieve symptoms of upper respiratory catarrh. Garlic supplements can interact with anticoagulant medicines including warfarin, increasing bleeding risk, so people taking blood-thinning medicines should consult their GP before use.",/images/products/garlic.webp
Krill Oil,krill-oil,softgel,"Krill oil is extracted from Antarctic krill (Euphausia superba) and provides omega-3 fatty acids (EPA and DHA) in phospholipid form, as well as the antioxidant astaxanthin; these omega-3 fatty acids contribute to the normal function of the heart at a daily intake of 250 mg of combined EPA and DHA. Some research suggests the phospholipid form may have higher bioavailability than the triglyceride form found in standard fish oil, though evidence comparing clinical outcomes is still limited. Krill oil is regulated as a novel food in Great Britain and people with shellfish or seafood allergies should avoid krill oil supplements.",/images/products/krilloil.webp
Resveratrol,resveratrol,capsule,"Resveratrol is a polyphenol antioxidant (stress-reliever) found naturally in red grapes, berries, and peanuts, and is of scientific interest for its potential to support cardiovascular health and cellular protection from oxidative stress. In the UK it is regulated as a food supplement under The Food Supplements (England) Regulations 2003; EFSA has reviewed resveratrol and has not authorised any specific health claims due to insufficient human clinical evidence at this time. Most commercial supplements provide 50–500 mg per day; resveratrol may interact with blood-thinning medicines and certain medications metabolised by the liver, so people on prescription drugs should consult a GP before use.",/images/products/resveratrol.webp
Algae Based Omega 3,algae-omega-3,softgel,"Algae-based omega-3 supplements provide DHA (docosahexaenoic acid) and sometimes EPA (eicosapentaenoic acid) derived from marine microalgae — the original dietary source of these fatty acids in the marine food chain — making them a suitable option for people following vegetarian or vegan diets. DHA contributes to the maintenance of normal brain function and normal vision at a daily intake of 250 mg, and EPA and DHA together contribute to normal heart function at 250 mg per day. EFSA has authorised these claims, and the NHS recommends that those who do not eat oily fish consider algae-based omega-3 as an alternative source of long-chain omega-3 fatty acids.",/images/products/algaebasedomega3.webp
Beetroot Capsules,beetroot-capsules,capsule,"Beetroot is a rich dietary source of inorganic nitrate, which the body converts to nitric oxide — a compound that contributes to the widening of blood vessels and normal blood flow. Some research, including studies referenced in UK sports science literature, suggests concentrated beetroot supplements may support exercise performance and healthy blood pressure; however, EFSA has not authorised a specific health claim for beetroot at this time. Beetroot capsules are regulated as a food supplement in the UK and cannot make cardiovascular or blood pressure treatment claims; most products provide the equivalent of one to two beetroots per serving, and they are considered safe for most adults when taken as directed.",/images/products/beetroot.webp
Hawthorn Berry,hawthorn-berry,capsule,"Hawthorn (Crataegus monogyna/oxyacantha) berries and extracts have been used in European herbal medicine for centuries to support cardiovascular wellness and normal circulation. In the UK, some hawthorn products have been granted a Traditional Herbal Registration (THR) by the MHRA, authorising their traditional use for the relief of temporary tiredness and sensations of heart palpitations — based on long-standing traditional use rather than clinical evidence. Hawthorn may interact with prescribed heart medicines and blood pressure drugs; consumers on any cardiac medication should always consult their GP or pharmacist before using hawthorn supplements.",/images/products/hawthornberry.webp

Whey Protein Powder,whey-protein-powder,powder,"Whey protein is a high-quality complete protein derived from cow's milk during the cheese-making process, providing all essential amino acids and contributing to the growth and maintenance of muscle mass when consumed alongside resistance exercise. The NHS advises that most people in the UK get enough protein from their diet (the UK RNI is 0.75 g per kg of body weight per day for adults), and protein supplements are generally unnecessary for those who are not engaged in high levels of athletic training. Whey protein is not suitable for people with a cow's milk allergy or lactose intolerance; high-protein diets and supplements should be avoided by those with kidney disease unless under medical supervision.",/images/products/wheyprotein.webp
Plant Based Protein,plant-based-protein,powder,"Plant-based protein powders — commonly made from pea, rice, hemp, or soy protein — provide a vegan and vegetarian-friendly alternative to whey, contributing to the growth and maintenance of muscle mass when consumed alongside adequate resistance exercise. Protein contributes to a growth in muscle mass and maintenance of muscle mass per EFSA authorised health claims; individual plant protein sources may have a slightly lower digestibility score than animal proteins, though blending sources (e.g., pea and rice) can improve the amino acid profile. People with soy or other legume allergies should check ingredient lists carefully; as with all protein supplements, those with kidney disease should seek medical advice before use.",/images/products/plantbasedprotein.webp
Creatine,creatine,powder,"Creatine is a naturally occurring compound stored primarily in muscle tissue, where it plays a key role in rapid energy production (ATP resynthesis) during short bursts of high-intensity exercise; supplementation with creatine monohydrate is one of the most researched performance supplements available. EFSA has concluded that creatine supplementation contributes to an increase in physical performance during successive bursts of short-term, high intensity exercise, based on a daily intake of 3 g. Creatine is generally considered safe for healthy adults; however, people with kidney disease or pre-existing kidney conditions should consult a GP before use, and it should not be taken by children or adolescents without medical supervision.",/images/products/creatine.webp
Electrolytes,electrolytes,powder,"Electrolyte powders typically provide a blend of key minerals — most commonly sodium, potassium, magnesium, and calcium — that are lost through sweat during exercise and are essential for normal fluid balance, nerve conduction, and muscle contraction. These minerals each have EFSA-authorised health claims for contributing to normal electrolyte balance, normal muscle function, and normal nerve function. Electrolyte supplements are particularly useful for athletes exercising for more than one hour or in hot environments; healthy adults who do not exercise intensively can generally meet electrolyte needs through a balanced diet and adequate fluid intake and people who intermittently fast to restore minerals. ",/images/products/electrolytes.webp
Amino Acid,amino-acid,powder,"Amino acid supplements provide individual or blended essential and non-essential amino acids — the building blocks of proteins — to support muscle repair, recovery, and protein synthesis. Essential amino acids, including branched-chain amino acids (BCAAs) such as leucine, isoleucine, and valine, must be obtained from the diet as the body cannot synthesise them; protein contributes to the growth and maintenance of muscle mass per EFSA authorised health claims. Most people consuming adequate dietary protein will obtain sufficient amino acids without supplementation; people with phenylketonuria (PKU) or other metabolic conditions affecting amino acid processing must follow specific medical dietary advice and should not take general amino acid supplements without GP guidance.",/images/products/bcaa.webp
Collagen Blends,collagen-blends,powder,"Collagen is the most abundant protein in the human body, forming the structural basis of skin, bones, tendons, and cartilage; collagen supplement blends — typically hydrolysed bovine or marine collagen — are marketed to support skin elasticity and joint comfort. EFSA has not yet issued an authorised health claim specifically for collagen supplementation, and the evidence base in humans — particularly regarding whether orally consumed collagen peptides are absorbed intact to reach target tissues — is still developing. Collagen powders are regulated as food supplements in the UK; people with fish or shellfish allergies should check the source of marine collagen carefully, and those following halal or kosher diets should verify the origin of bovine collagen.",/images/products/collagen.webp
Beta-Alanine,beta-alanine,powder,"Beta-alanine is a non-essential amino acid that combines with histidine in muscle tissue to form carnosine, a compound that acts as a buffer against the build-up of lactic acid during intense exercise, potentially helping to maintain performance and reduce fatigue during high-intensity efforts lasting one to four minutes. EFSA has not issued a specific authorised health claim for beta-alanine; however, it is one of the more evidence-backed sports nutrition ingredients with multiple human clinical trials supporting its ergogenic effects. A common and harmless side effect of beta-alanine supplementation is a temporary tingling sensation in the skin (paraesthesia), particularly with doses above 800 mg; this can be reduced by taking smaller, divided doses throughout the day.",/images/products/betaalanine.webp

Probiotics + Prebiotics,probiotics-prebiotics,capsule,"Probiotics are live bacteria and yeasts that, when consumed in adequate amounts, may contribute to the normal balance of gut microbiota; prebiotics are dietary fibres that selectively feed beneficial gut bacteria. The NHS notes that some evidence suggests certain probiotic strains may help ease symptoms of irritable bowel syndrome (IBS), and they are generally considered safe for healthy adults with an intact immune system. In the UK, probiotics are classified as food supplements rather than medicines, meaning they are not subject to the same rigorous clinical evidence requirements; efficacy varies by strain, dose, and individual, and health claims for specific outcomes require EFSA authorisation. People with compromised immune systems or serious underlying conditions should consult a GP before taking probiotic supplements.",/images/products/probioticsprebiotics.webp
Apple Cider Vinegar,apple-cider-vinegar,tablet,"Apple cider vinegar (ACV) is made from fermented apple juice and has been used traditionally as a folk remedy for digestive discomfort; in tablet form it provides a standardised, convenient alternative to liquid ACV without the associated tooth enamel erosion risk. Currently, EFSA has not authorised any specific health claims for apple cider vinegar, and the NHS notes that there is limited good-quality clinical evidence to support the many claims made for ACV as a health supplement. ACV is regulated as a food supplement in the UK; liquid ACV can erode tooth enamel and irritate the oesophagus, so dilution must be considered when drinking — and very high doses may interact with diuretic medicines or insulin. ",/images/products/applecidervinegar.webp
L-Glutamine,l-glutamine,powder,"L-glutamine is the most abundant amino acid in the body and plays a key role in gut lining integrity, immune cell function, and nitrogen transport between tissues; it is classified as conditionally essential, meaning the body's own production may become insufficient during periods of illness, intense exercise, or recovery from surgery. In the UK it is sold as a food supplement under The Food Supplements (England) Regulations 2003 and cannot make medicinal claims; it is used by some athletes to support gut health and muscle recovery after prolonged training. L-glutamine is generally considered safe at doses up to 14 g per day in healthy adults; people with liver cirrhosis, kidney disease, or seizure disorders should not take glutamine supplements without medical advice.",/images/products/lglutamine.webp
Aloe Vera Capsules,aloe-vera-capsules,capsule,"Aloe vera is a succulent plant whose gel has been used traditionally in many cultures for digestive and skin wellness; in capsule form, standardised aloe vera extracts are commonly taken to support digestive comfort and normal bowel function. The NHS notes that the evidence for aloe vera as a digestive supplement is limited; importantly, anthraquinone-containing aloe latex (found in the outer leaf) is not the same as the inner gel, and high doses of anthraquinone compounds have been associated with adverse effects including diarrhoea and, in animal studies, carcinogenicity. In the UK, the European Commission has prohibited the use of aloe emodin and related anthraquinones from food supplements; consumers should ensure products are labelled as aloe vera inner leaf gel (decolorised) and follow recommended label doses.",/images/products/aloevera.webp
Slippery Elm,slippery-elm,capsule,"Slippery elm (Ulmus rubra) is derived from the inner bark of the North American elm tree and has been used in traditional herbal medicine for centuries to soothe and coat the lining of the mouth, throat, stomach, and intestines. In the UK it is regulated as a food supplement; some products have Traditional Herbal Registration (THR) status from the MHRA authorising their use as a traditional remedy for the relief of sore throat and digestive discomfort. Slippery elm is high in mucilaginous fibre and may slow the absorption of other medications taken at the same time; it is advisable to take it at least two hours apart from any prescription medicines.",/images/products/slipperyelm.webp

